,full_name,age_201718,birthday,league_201718,season_201718,position_201718,Current Club_201718,minutes_played_overall_201718,nationality_201718,appearances_overall_201718,goals_overall_201718,assists_overall_201718,penalty_goals_201718,penalty_misses_201718,clean_sheets_overall_201718,conceded_overall_201718,yellow_cards_overall_201718,red_cards_overall_201718,goals_involved_per_90_overall_201718,assists_per_90_overall_201718,goals_per_90_overall_201718,min_per_goal_overall_201718,conceded_per_90_overall_201718,min_per_conceded_overall_201718,min_per_match_201718,min_per_card_overall_201718,min_per_assist_overall_201718,cards_per_90_overall_201718,rank_in_league_top_attackers_201718,rank_in_league_top_midfielders_201718,rank_in_league_top_defenders_201718,rank_in_club_top_scorer_201718,age_201819,league_201819,season_201819,position_201819,Current Club_201819,minutes_played_overall_201819,nationality_201819,appearances_overall_201819,goals_overall_201819,assists_overall_201819,penalty_goals_201819,penalty_misses_201819,clean_sheets_overall_201819,conceded_overall_201819,yellow_cards_overall_201819,red_cards_overall_201819,goals_involved_per_90_overall_201819,assists_per_90_overall_201819,goals_per_90_overall_201819,min_per_goal_overall_201819,conceded_per_90_overall_201819,min_per_conceded_overall_201819,min_per_match_201819,min_per_card_overall_201819,min_per_assist_overall_201819,cards_per_90_overall_201819,rank_in_league_top_attackers_201819,rank_in_league_top_midfielders_201819,rank_in_league_top_defenders_201819,rank_in_club_top_scorer_201819,age_201920,league_201920,season_201920,position_201920,Current Club_201920,minutes_played_overall_201920,nationality_201920,appearances_overall_201920,goals_overall_201920,assists_overall_201920,penalty_goals_201920,penalty_misses_201920,clean_sheets_overall_201920,conceded_overall_201920,yellow_cards_overall_201920,red_cards_overall_201920,goals_involved_per_90_overall_201920,assists_per_90_overall_201920,goals_per_90_overall_201920,min_per_goal_overall_201920,conceded_per_90_overall_201920,min_per_conceded_overall_201920,min_per_match_201920,min_per_card_overall_201920,min_per_assist_overall_201920,cards_per_90_overall_201920,rank_in_league_top_attackers_201920,rank_in_league_top_midfielders_201920,rank_in_league_top_defenders_201920,rank_in_club_top_scorer_201920
469,Paul Pogba,27,732153600,Premier League,2017/2018,Midfielder,Manchester United,2151,France,27,6,10,0,0,13,19,6,1,0.67,0.42,0.25,359,0.79,113,80,307,215,0.29,67,6,-1,6,27.0,Premier League,2018/2019,Midfielder,Manchester United,3011.0,France,35.0,13.0,9.0,7.0,3.0,7.0,41.0,6.0,0.0,0.66,0.27,0.39,232.0,1.23,73.0,86.0,502.0,335.0,0.18,37.0,30.0,-1.0,1.0,27.0,Premier League,2019/2020,Midfielder,Manchester United,1204.0,France,16.0,1.0,3.0,0.0,1.0,6.0,8.0,1.0,0.0,0.3,0.22,0.07,1204.0,0.6,151.0,75.0,1204.0,401.0,0.07,191.0,44.0,-1.0,10.0
470,Paulo Dino Gazzaniga,28,694310400,Premier League,2017/2018,Goalkeeper,Tottenham Hotspur,90,Argentina,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0,90,0,0,0.0,-1,-1,-1,12,28.0,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,270.0,Argentina,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,270.0,90.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,15.0,28.0,Premier League,2019/2020,Goalkeeper,Tottenham Hotspur,1612.0,Argentina,18.0,0.0,0.0,0.0,0.0,2.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.28,70.0,90.0,1612.0,0.0,0.06,417.0,398.0,86.0,16.0
471,Pedro Obiang,28,701654400,Premier League,2017/2018,Midfielder,West Ham United,1564,Equatorial Guinea,21,2,0,0,0,5,27,3,0,0.12,0.0,0.12,782,1.55,58,74,521,0,0.17,137,371,-1,7,28.0,Premier League,2018/2019,Midfielder,West Ham United,1121.0,Equatorial Guinea,24.0,0.0,1.0,0.0,0.0,7.0,17.0,0.0,0.0,0.08,0.08,0.0,0.0,1.36,66.0,47.0,0.0,1121.0,0.0,371.0,168.0,-1.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Pedro Rodriguez,33,554428800,Premier League,2017/2018,Midfielder,Chelsea,1522,Spain,31,4,2,0,0,13,12,1,0,0.35,0.12,0.24,381,0.71,127,49,1522,761,0.06,70,114,-1,6,33.0,Premier League,2018/2019,Midfielder,Chelsea,1780.0,Spain,31.0,8.0,2.0,0.0,0.0,11.0,18.0,2.0,0.0,0.51,0.1,0.4,223.0,0.91,99.0,57.0,890.0,890.0,0.1,35.0,144.0,-1.0,2.0,33.0,Premier League,2019/2020,Midfielder,Chelsea,661.0,Spain,11.0,1.0,1.0,0.0,0.0,3.0,12.0,1.0,0.0,0.27,0.14,0.14,661.0,1.63,55.0,60.0,661.0,661.0,0.14,121.0,92.0,-1.0,13.0
473,Per Mertesacker,36,465264000,Premier League,2017/2018,Defender,Arsenal,365,Germany,6,1,0,0,0,1,5,0,0,0.25,0.0,0.25,365,1.23,73,61,0,0,0.0,66,301,70,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Peter Crouch,39,349660800,Premier League,2017/2018,Forward,Stoke City,1554,England,31,5,2,0,0,4,25,4,0,0.41,0.12,0.29,311,1.45,62,50,389,777,0.23,57,111,-1,4,39.0,Premier League,2018/2019,Forward,Burnley,86.0,England,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,86.0,0.0,1.05,-1.0,-1.0,-1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Petr Čech,38,390700800,Premier League,2017/2018,Goalkeeper,Arsenal,3040,Czech Republic,34,0,0,0,0,11,45,1,0,0.0,0.0,0.0,0,1.33,68,89,3040,0,0.03,298,412,89,20,38.0,Premier League,2018/2019,Goalkeeper,Arsenal,585.0,Czech Republic,7.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,73.0,84.0,0.0,0.0,0.0,384.0,377.0,71.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Phil Bardsley,35,488764800,Premier League,2017/2018,Defender,Burnley,1126,Scotland,13,0,0,0,0,4,11,5,0,0.0,0.0,0.0,0,0.88,102,87,225,0,0.4,273,256,39,14,35.0,Premier League,2018/2019,Defender,Burnley,1672.0,Scotland,19.0,0.0,0.0,0.0,0.0,4.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,1.18,76.0,88.0,186.0,0.0,0.48,383.0,355.0,62.0,17.0,35.0,Premier League,2019/2020,Defender,Burnley,1890.0,Scotland,21.0,0.0,1.0,0.0,0.0,9.0,18.0,6.0,0.0,0.05,0.05,0.0,0.0,0.86,105.0,90.0,315.0,1890.0,0.29,322.0,211.0,21.0,12.0
477,Phil Jagielka,38,398390400,Premier League,2017/2018,Defender,Everton,2065,England,25,0,0,0,0,7,36,2,0,0.0,0.0,0.0,0,1.57,57,83,1033,0,0.09,305,267,147,28,38.0,Premier League,2018/2019,Defender,Everton,329.0,England,7.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.27,0.0,0.27,329.0,0.55,165.0,47.0,165.0,0.0,0.55,71.0,272.0,9.0,13.0,38.0,Premier League,2019/2020,Defender,Sheffield United,240.0,England,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,40.0,40.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,19.0
478,Phil Jones,28,698630400,Premier League,2017/2018,Defender,Manchester United,1975,England,23,0,0,0,0,15,10,2,0,0.0,0.0,0.0,0,0.46,198,86,988,0,0.09,377,399,4,23,28.0,Premier League,2018/2019,Defender,Manchester United,1263.0,England,18.0,0.0,1.0,0.0,0.0,4.0,16.0,1.0,0.0,0.07,0.07,0.0,0.0,1.14,79.0,70.0,1263.0,1263.0,0.07,299.0,189.0,51.0,24.0,28.0,Premier League,2019/2020,Defender,Manchester United,136.0,England,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,45.0,68.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,19.0
479,Philip Billing,24,834451200,Premier League,2017/2018,Midfielder,Huddersfield Town,760,Denmark,16,0,0,0,0,5,10,3,0,0.0,0.0,0.0,0,1.18,76,48,253,0,0.36,405,348,-1,20,24.0,Premier League,2018/2019,Midfielder,Huddersfield Town,2192.0,Denmark,27.0,2.0,0.0,0.0,0.0,5.0,41.0,7.0,0.0,0.08,0.0,0.08,1096.0,1.68,53.0,81.0,313.0,0.0,0.29,185.0,372.0,-1.0,4.0,24.0,Premier League,2019/2020,Midfielder,AFC Bournemouth,2535.0,Denmark,34.0,1.0,1.0,0.0,0.0,4.0,40.0,8.0,0.0,0.07,0.04,0.04,2535.0,1.42,63.0,75.0,317.0,2535.0,0.28,238.0,229.0,-1.0,9.0
480,Philip Foden,20,959472000,Premier League,2017/2018,Midfielder,Manchester City,44,England,5,0,1,0,0,3,0,0,0,2.05,2.05,0.0,0,0.0,0,9,0,44,0.0,-1,-1,-1,19,20.0,Premier League,2018/2019,Midfielder,Manchester City,327.0,England,13.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.28,0.0,0.28,327.0,0.0,0.0,25.0,0.0,0.0,0.0,67.0,386.0,-1.0,11.0,20.0,Premier League,2019/2020,Midfielder,Manchester City,892.0,England,23.0,5.0,2.0,0.0,0.0,13.0,5.0,0.0,0.0,0.71,0.2,0.5,178.0,0.5,178.0,39.0,0.0,446.0,0.0,22.0,55.0,-1.0,8.0
481,Philippe Coutinho,28,708307200,Premier League,2017/2018,Midfielder,Liverpool,1116,Brazil,14,7,6,0,0,5,14,0,0,1.05,0.48,0.56,159,1.13,80,80,0,186,0.0,14,3,-1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Pierre-Emerick Aubameyang,31,614131200,Premier League,2017/2018,Forward,Arsenal,1058,Gabon,13,10,4,1,1,4,13,0,0,1.19,0.34,0.85,106,1.11,81,81,0,265,0.0,4,11,-1,2,31.0,Premier League,2018/2019,Forward,Arsenal,2731.0,Gabon,36.0,22.0,5.0,4.0,1.0,8.0,40.0,0.0,0.0,0.89,0.16,0.73,124.0,1.32,68.0,76.0,0.0,546.0,0.0,3.0,88.0,-1.0,1.0,31.0,Premier League,2019/2020,Forward,Arsenal,3139.0,Gabon,36.0,22.0,3.0,2.0,0.0,10.0,42.0,4.0,1.0,0.72,0.09,0.63,143.0,1.2,75.0,87.0,628.0,1046.0,0.14,7.0,150.0,-1.0,1.0
483,Pierre-Emile Højbjerg,25,807580800,Premier League,2017/2018,Midfielder,Southampton,1671,Denmark,23,0,0,0,0,3,27,6,0,0.0,0.0,0.0,0,1.45,62,73,279,0,0.32,281,293,-1,18,25.0,Premier League,2018/2019,Midfielder,Southampton,2764.0,Denmark,31.0,4.0,3.0,0.0,0.0,4.0,52.0,10.0,2.0,0.23,0.1,0.13,691.0,1.69,53.0,89.0,251.0,921.0,0.36,136.0,148.0,-1.0,5.0,25.0,Premier League,2019/2020,Midfielder,Southampton,2751.0,Denmark,33.0,0.0,1.0,0.0,0.0,8.0,47.0,5.0,0.0,0.03,0.03,0.0,0.0,1.54,59.0,83.0,550.0,2751.0,0.16,325.0,239.0,-1.0,17.0
484,Rafael Euclides Soares Camacho,20,958953600,Premier League,2017/2018,Midfielder,Liverpool,0,Portugal,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,20.0,Premier League,2018/2019,Midfielder,Liverpool,0.0,Portugal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Ragnar Klavan,35,499478400,Premier League,2017/2018,Defender,Liverpool,1448,Estonia,19,1,0,0,0,9,14,0,0,0.06,0.0,0.06,1448,0.87,103,76,0,0,0.0,200,257,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Raheem Sterling,26,786844800,Premier League,2017/2018,Forward,Manchester City,2592,England,33,18,11,1,0,14,21,5,1,1.01,0.38,0.63,144,0.73,123,79,518,236,0.17,8,9,-1,2,26.0,Premier League,2018/2019,Forward,Manchester City,2777.0,England,34.0,17.0,10.0,0.0,0.0,18.0,19.0,3.0,0.0,0.88,0.32,0.55,163.0,0.62,146.0,82.0,926.0,278.0,0.1,12.0,14.0,-1.0,2.0,26.0,Premier League,2019/2020,Forward,Manchester City,2659.0,England,33.0,20.0,1.0,0.0,2.0,13.0,29.0,5.0,0.0,0.71,0.03,0.68,133.0,0.98,92.0,81.0,532.0,2659.0,0.17,5.0,249.0,-1.0,1.0
487,Rajiv van La Parra,29,675993600,Premier League,2017/2018,Midfielder,Huddersfield Town,2145,Netherlands,33,3,0,1,0,9,34,4,1,0.13,0.0,0.13,715,1.43,63,65,429,0,0.21,130,351,-1,4,29.0,Premier League,2018/2019,Midfielder,Huddersfield Town,407.0,Netherlands,5.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,68.0,81.0,0.0,0.0,0.0,335.0,396.0,-1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Ramadan Sobhi,23,853977600,Premier League,2017/2018,Forward,Stoke City,1233,Egypt,24,2,0,0,0,4,30,2,0,0.15,0.0,0.15,617,2.19,41,51,617,0,0.15,124,410,-1,7,23.0,Premier League,2018/2019,Forward,Huddersfield Town,75.0,Egypt,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,75.0,19.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Rayhaan Rahim Amari Tulloch,19,979948800,Premier League,2017/2018,Midfielder,West Bromwich Albion,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Reece Burke,24,841622400,Premier League,2017/2018,Defender,West Ham United,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Reece Oxford,22,913766400,Premier League,2017/2018,Defender,West Ham United,4,England,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,4,0,0,0.0,-1,-1,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Reiss Nelson,21,944784000,Premier League,2017/2018,Forward,Arsenal,146,England,3,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0,1.85,49,49,0,0,0.0,-1,-1,-1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,Premier League,2019/2020,Forward,Arsenal,627.0,England,17.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.14,0.0,0.14,627.0,0.72,125.0,37.0,627.0,0.0,0.14,115.0,357.0,-1.0,14.0
493,Rekeem Harper,20,952473600,Premier League,2017/2018,Midfielder,West Bromwich Albion,20,England,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0,20,0,0,0.0,-1,-1,-1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Renato Sanches,23,871862400,Premier League,2017/2018,Midfielder,Swansea City,704,Portugal,12,0,0,0,0,2,8,1,0,0.0,0.0,0.0,0,1.02,88,59,704,0,0.13,280,309,-1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Rhu-endly Martina,31,622684800,Premier League,2017/2018,Defender,Everton,1830,Curaçao,21,0,2,0,0,6,29,1,0,0.1,0.1,0.0,0,1.43,63,87,1830,915,0.05,309,132,116,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,Premier League,2019/2020,Defender,Everton,0.0,Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
496,Richarlison de Andrade,23,863222400,Premier League,2017/2018,Forward,Watford,2827,Brazil,38,5,4,0,0,9,48,4,0,0.29,0.13,0.16,565,1.53,59,74,707,707,0.13,117,102,-1,4,23.0,Premier League,2018/2019,Forward,Everton,2679.0,Brazil,35.0,13.0,1.0,0.0,0.0,14.0,32.0,6.0,1.0,0.47,0.03,0.44,206.0,1.08,84.0,77.0,383.0,2679.0,0.24,28.0,250.0,-1.0,1.0,23.0,Premier League,2019/2020,Forward,Everton,3081.0,Brazil,36.0,13.0,3.0,0.0,0.0,9.0,47.0,8.0,0.0,0.47,0.09,0.38,237.0,1.37,66.0,86.0,385.0,1027.0,0.23,41.0,143.0,-1.0,1.0
497,Riyad Mahrez,29,667094400,Premier League,2017/2018,Midfielder,Leicester City,2960,Algeria,36,12,10,0,0,9,48,2,0,0.67,0.3,0.36,247,1.46,62,82,1480,296,0.06,37,18,-1,2,29.0,Premier League,2018/2019,Midfielder,Manchester City,1339.0,Algeria,27.0,7.0,4.0,0.0,1.0,13.0,9.0,0.0,0.0,0.74,0.27,0.47,191.0,0.6,149.0,50.0,0.0,335.0,0.0,22.0,32.0,-1.0,6.0,29.0,Premier League,2019/2020,Midfielder,Manchester City,1941.0,Algeria,33.0,11.0,9.0,1.0,0.0,14.0,12.0,0.0,0.0,0.93,0.42,0.51,176.0,0.56,162.0,59.0,0.0,216.0,0.0,20.0,8.0,-1.0,5.0
498,Rob Elliot,34,515203200,Premier League,2017/2018,Goalkeeper,Newcastle United,1440,Republic of Ireland,16,0,0,0,0,3,20,0,0,0.0,0.0,0.0,0,1.25,72,90,0,0,0.0,362,327,73,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,Premier League,2019/2020,Goalkeeper,Newcastle United,0.0,Republic of Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
499,Rob Holding,25,811555200,Premier League,2017/2018,Defender,Arsenal,820,England,12,0,0,0,0,3,15,3,0,0.0,0.0,0.0,0,1.65,55,68,273,0,0.33,329,273,163,25,25.0,Premier League,2018/2019,Defender,Arsenal,807.0,England,10.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.12,81.0,81.0,807.0,0.0,0.11,389.0,411.0,47.0,24.0,25.0,Premier League,2019/2020,Defender,Arsenal,580.0,England,8.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.24,73.0,73.0,580.0,0.0,0.16,256.0,322.0,74.0,24.0
500,Robbie Brady,28,695347200,Premier League,2017/2018,Midfielder,Burnley,1279,Republic of Ireland,15,1,2,0,0,6,11,3,0,0.21,0.14,0.07,1279,0.77,116,85,426,640,0.21,181,92,-1,10,28.0,Premier League,2018/2019,Midfielder,Burnley,715.0,Republic of Ireland,16.0,0.0,1.0,0.0,0.0,2.0,12.0,4.0,1.0,0.13,0.13,0.0,0.0,1.51,60.0,45.0,143.0,715.0,0.63,268.0,108.0,-1.0,13.0,28.0,Premier League,2019/2020,Midfielder,Burnley,448.0,Republic of Ireland,17.0,1.0,2.0,0.0,0.0,5.0,9.0,1.0,0.0,0.6,0.4,0.2,448.0,1.81,50.0,26.0,448.0,224.0,0.2,92.0,9.0,-1.0,10.0
501,Robert Green,40,317001600,Premier League,2017/2018,Goalkeeper,Huddersfield Town,0,England,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Robert Kenedy Nunes do Nascimento,24,823737600,Premier League,2017/2018,Midfielder,Newcastle United,1030,Brazil,13,2,2,0,0,3,9,1,0,0.35,0.17,0.17,515,0.79,114,79,1030,515,0.09,109,69,-1,6,24.0,Premier League,2018/2019,Midfielder,Newcastle United,1344.0,Brazil,25.0,1.0,1.0,0.0,1.0,8.0,17.0,1.0,0.0,0.13,0.07,0.07,1344.0,1.14,79.0,54.0,1344.0,1344.0,0.07,193.0,184.0,-1.0,9.0,24.0,Premier League,2019/2020,Midfielder,Chelsea,0.0,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
503,Roberto Firmino,29,686361600,Premier League,2017/2018,Forward,Liverpool,2778,Brazil,37,15,7,1,0,17,30,1,0,0.71,0.23,0.49,185,0.97,93,75,2778,397,0.03,21,45,-1,2,29.0,Premier League,2018/2019,Forward,Liverpool,2620.0,Brazil,34.0,12.0,6.0,1.0,0.0,18.0,13.0,0.0,0.0,0.62,0.21,0.41,218.0,0.45,202.0,77.0,0.0,437.0,0.0,32.0,62.0,-1.0,3.0,29.0,Premier League,2019/2020,Forward,Liverpool,3003.0,Brazil,38.0,9.0,8.0,0.0,0.0,15.0,26.0,0.0,0.0,0.51,0.24,0.27,334.0,0.78,116.0,79.0,0.0,375.0,0.0,59.0,34.0,-1.0,3.0
504,Roberto Maximiliano Pereyra,29,663206400,Premier League,2017/2018,Forward,Watford,1622,Argentina,32,5,2,0,0,6,30,3,0,0.39,0.11,0.28,324,1.66,54,51,541,811,0.17,61,120,-1,2,29.0,Premier League,2018/2019,Forward,Watford,2825.0,Argentina,33.0,6.0,1.0,0.0,0.0,5.0,52.0,3.0,0.0,0.22,0.03,0.19,471.0,1.66,54.0,86.0,942.0,2825.0,0.1,97.0,251.0,-1.0,4.0,29.0,Premier League,2019/2020,Forward,Watford,1649.0,Argentina,28.0,3.0,0.0,1.0,0.0,8.0,26.0,4.0,0.0,0.16,0.0,0.16,550.0,1.42,63.0,59.0,412.0,0.0,0.22,105.0,362.0,-1.0,5.0
505,Rolando Aarons,25,816480000,Premier League,2017/2018,Midfielder,Newcastle United,137,England,4,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0,1.31,69,34,0,0,0.0,-1,-1,-1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Romelu Lukaku,27,737251200,Premier League,2017/2018,Forward,Manchester United,2869,Belgium,34,16,7,0,1,16,25,4,0,0.72,0.22,0.5,179,0.78,115,84,717,410,0.13,19,52,-1,1,27.0,Premier League,2018/2019,Forward,Manchester United,2130.0,Belgium,32.0,12.0,0.0,0.0,0.0,7.0,36.0,4.0,0.0,0.51,0.0,0.51,178.0,1.52,59.0,67.0,533.0,0.0,0.17,16.0,305.0,-1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Rondon,31,621907200,Premier League,2017/2018,Forward,West Bromwich Albion,2772,Venezuela,36,7,3,0,0,9,45,4,0,0.32,0.1,0.23,396,1.46,62,77,693,924,0.13,74,136,-1,1,31.0,Premier League,2018/2019,Forward,Newcastle United,2609.0,Venezuela,32.0,11.0,7.0,0.0,0.0,10.0,29.0,1.0,0.0,0.62,0.24,0.38,237.0,1.0,90.0,82.0,2609.0,373.0,0.03,40.0,43.0,-1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Roque Mesa,31,613180800,Premier League,2017/2018,Midfielder,Swansea City,757,Spain,11,0,0,0,0,2,13,3,0,0.0,0.0,0.0,0,1.55,58,69,252,0,0.36,327,336,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Ross Barkley,27,755049600,Premier League,2017/2018,Midfielder,Chelsea,131,England,2,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0,2.75,33,66,0,0,0.0,-1,-1,-1,17,27.0,Premier League,2018/2019,Midfielder,Chelsea,1241.0,England,27.0,3.0,5.0,0.0,0.0,11.0,13.0,1.0,0.0,0.58,0.36,0.22,414.0,0.94,95.0,46.0,1241.0,248.0,0.07,84.0,12.0,-1.0,7.0,27.0,Premier League,2019/2020,Midfielder,Chelsea,1104.0,England,21.0,1.0,4.0,0.0,0.0,7.0,13.0,0.0,0.0,0.41,0.33,0.08,1104.0,1.06,85.0,53.0,0.0,276.0,0.0,177.0,18.0,-1.0,15.0
510,Ruben Loftus-Cheek,24,822355200,Premier League,2017/2018,Midfielder,Crystal Palace,1875,England,24,2,3,0,0,7,30,1,0,0.24,0.14,0.1,938,1.44,63,78,1875,625,0.05,148,89,-1,9,24.0,Premier League,2018/2019,Midfielder,Chelsea,983.0,England,24.0,6.0,2.0,0.0,0.0,12.0,8.0,0.0,0.0,0.73,0.18,0.55,164.0,0.73,123.0,41.0,0.0,492.0,0.0,11.0,83.0,-1.0,3.0,24.0,Premier League,2019/2020,Midfielder,Chelsea,205.0,England,7.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.44,0.44,0.0,0.0,1.32,68.0,29.0,0.0,205.0,0.0,-1.0,-1.0,-1.0,18.0
511,Ryan Bertrand,31,618278400,Premier League,2017/2018,Defender,Southampton,3137,England,35,0,4,0,0,7,46,2,0,0.11,0.11,0.0,0,1.32,68,90,1569,784,0.06,318,121,87,24,31.0,Premier League,2018/2019,Defender,Southampton,2160.0,England,24.0,1.0,0.0,0.0,0.0,6.0,36.0,8.0,0.0,0.04,0.0,0.04,2160.0,1.5,60.0,90.0,270.0,0.0,0.33,245.0,366.0,117.0,13.0,31.0,Premier League,2019/2020,Defender,Southampton,2743.0,England,32.0,1.0,1.0,0.0,0.0,7.0,41.0,4.0,1.0,0.07,0.03,0.03,2743.0,1.35,67.0,86.0,549.0,2743.0,0.16,242.0,243.0,103.0,12.0
512,Ryan Fraser,26,762048000,Premier League,2017/2018,Midfielder,AFC Bournemouth,2009,Scotland,26,5,3,0,0,3,36,0,0,0.36,0.13,0.22,402,1.61,56,77,0,670,0.0,77,104,-1,3,26.0,Premier League,2018/2019,Midfielder,AFC Bournemouth,3173.0,Scotland,38.0,7.0,14.0,0.0,0.0,10.0,61.0,2.0,0.0,0.6,0.4,0.2,453.0,1.73,52.0,84.0,1587.0,227.0,0.06,95.0,9.0,-1.0,3.0,26.0,Premier League,2019/2020,Midfielder,AFC Bournemouth,2062.0,Scotland,28.0,1.0,4.0,0.0,0.0,4.0,33.0,2.0,0.0,0.22,0.17,0.04,2062.0,1.44,62.0,74.0,1031.0,516.0,0.09,237.0,78.0,-1.0,11.0
513,Ryan Shawcross,33,560304000,Premier League,2017/2018,Defender,Stoke City,2372,England,27,1,1,0,0,5,38,2,0,0.08,0.04,0.04,2372,1.44,62,88,1186,2372,0.08,226,220,118,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
